Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
othmo_phage_disability,other_routes_monthly_beta,,radio,[Month [othmo_mth]] Any disabilities?,"no_disability, Without persisting disability | with_disability, With persisting disability",,,,,,"[othmo_phage_resp] = ""cure""",y,,,,,
othmo_phage_partial,other_routes_monthly_beta,,radio,[Month [othmo_mth]] Partial response:,"improvement, Improvement in clinical signs and symptoms, radiological or laboratory parameters of disease, but with evidence that infection is not completely resolved | stabilisation, Stabilisation of previously documented decline in function, but without obvious improvements, and evidence that infection is not completely resolved",,,,,,"[othmo_phage_resp] = ""partial""",y,,,,,
othmo_fbc_isnorm,other_routes_monthly_beta,FBC,yesno,[Month [othmo_mth]] FBC all within normal range (yes/no)?,,,,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_hb,other_routes_monthly_beta,Hb results,text,[Month [othmo_mth]] Hb result (XXX g/L),,,integer,,,,"[othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_hb_na,other_routes_monthly_beta,,checkbox,[Month [othmo_mth]] Are Hb results NOT available?,"na, Hb results NOT available [Month [othmo_mth]]",,,,,,"[othmo_hb] = '' and [othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_platelet,other_routes_monthly_beta,Platelet count,text,[Month [othmo_mth]] Platelet result (XXX x10^9/L),,,integer,,,,"[othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_platelet_na,other_routes_monthly_beta,,checkbox,[Month [othmo_mth]] Are Platelet count results NOT available?,"na, Platelet count results NOT available [Month [othmo_mth]]",,,,,,"[othmo_platelet] = '' and [othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_wcc,other_routes_monthly_beta,WCC,text,[Month [othmo_mth]] WCC (XXX x10^9/L),,,integer,,,,"[othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_wcc_na,other_routes_monthly_beta,,checkbox,[Month [othmo_mth]] Are WCC results NOT available?,"na, WCC results NOT available [Month [othmo_mth]]",,,,,,"[othmo_wcc] = '' and [othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_neutrophil,other_routes_monthly_beta,Neutrophil count,text,[Month [othmo_mth]] Neutrophil count (XX.X x10^9/L),,,number_1dp,,,,"[othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_neutrophil_na,other_routes_monthly_beta,,checkbox,[Month [othmo_mth]] Are neutrophil count results NOT available?,"na, neutrophil count results NOT available [Month [othmo_mth]]",,,,,,"[othmo_neutrophil] = '' and [othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_lymphocite,other_routes_monthly_beta,Lymphocyte count,text,[Month [othmo_mth]] Lymphocyte count (XX.X x10^9/L),,,number_1dp,,,,"[othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_lymphocite_na,other_routes_monthly_beta,,checkbox,[Month [othmo_mth]] Are Lymphocyte count results NOT available?,"na, Lymphocyte count results NOT available [Month [othmo_mth]]",,,,,,"[othmo_lymphocite] = '' and [othmo_fbc_isnorm] = '0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth1_descriptive,other_routes_monthly_beta,,descriptive,"<div class=""header"">Pathogen 1 ""[pre_pth1_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_pth_1_iso,other_routes_monthly_beta,,radio,[Pathogen 1: [pre_pth1_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_1_iso_na_desc,other_routes_monthly_beta,,notes,[Pathogen 1: [pre_pth1_target]] How come isolation wasn't performed?,,,,,,,"[othmo_pth_1_iso] = 'na' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_1_iso_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 1: [pre_pth1_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_1_iso] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_1_iso_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 1: [pre_pth1_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_1_iso_lyt_conf] = 'resistance' and [othmo_pth_1_iso] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_1_iso_oth,other_routes_monthly_beta,,radio,[Pathogen 1: [pre_pth1_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_1_iso_oth_site,other_routes_monthly_beta,,text,[Pathogen 1: [pre_pth1_target]] Specify other site where pathogen was isolated,,,,,,,"[othmo_pth_1_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_1_iso_oth_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 1: [pre_pth1_target]] Is ongoing lytic activity of phage(s) confirmed at [othmo_pth_1_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_1_iso_oth_site] and [othmo_pth_1_iso] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_1_iso_oth_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 1: [pre_pth1_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_1_iso_oth_lyt_conf] = 'resistance' and [othmo_pth_1_iso] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth2_descriptive,other_routes_monthly_beta,,descriptive,"<div class=""header"">Pathogen 2 ""[pre_pth2_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_pth_2_iso,other_routes_monthly_beta,,radio,[Pathogen 2: [pre_pth2_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_2_iso_na_desc,other_routes_monthly_beta,,notes,[Pathogen 2: [pre_pth2_target]] How come isolation wasn't performed?,,,,,,,"[othmo_pth_2_iso] = 'na' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_2_iso_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 2: [pre_pth2_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_2_iso] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_2_iso_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 2: [pre_pth2_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_2_iso_lyt_conf] = 'resistance' and [othmo_pth_2_iso] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_2_iso_oth,other_routes_monthly_beta,,radio,[Pathogen 2: [pre_pth2_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_2_iso_oth_site,other_routes_monthly_beta,,text,[Pathogen 2: [pre_pth2_target]] Specify other site where pathogen was isolated,,,,,,,"[othmo_pth_2_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_2_iso_oth_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 2: [pre_pth2_target]] Is ongoing lytic activity of phage(s) confirmed at [othmo_pth_2_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_2_iso_oth_site] and [othmo_pth_2_iso] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_2_iso_oth_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 2: [pre_pth2_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_2_iso_oth_lyt_conf] = 'resistance' and [othmo_pth_2_iso] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth3_descriptive,other_routes_monthly_beta,,descriptive,"<div class=""header"">Pathogen 3 ""[pre_pth3_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_pth_3_iso,other_routes_monthly_beta,,radio,[Pathogen 3: [pre_pth3_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_3_iso_na_desc,other_routes_monthly_beta,,notes,[Pathogen 3: [pre_pth3_target]] How come isolation wasn't performed?,,,,,,,"[othmo_pth_3_iso] = 'na' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_3_iso_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 3: [pre_pth3_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_3_iso] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_3_iso_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 3: [pre_pth3_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_3_iso_lyt_conf] = 'resistance' and [othmo_pth_3_iso] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_3_iso_oth,other_routes_monthly_beta,,radio,[Pathogen 3: [pre_pth3_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_3_iso_oth_site,other_routes_monthly_beta,,text,[Pathogen 3: [pre_pth3_target]] Specify other site where pathogen was isolated,,,,,,,"[othmo_pth_3_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_3_iso_oth_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 3: [pre_pth3_target]] Is ongoing lytic activity of phage(s) confirmed at [othmo_pth_3_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_3_iso_oth_site] and [othmo_pth_3_iso] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_3_iso_oth_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 3: [pre_pth3_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_3_iso_oth_lyt_conf] = 'resistance' and [othmo_pth_3_iso] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth4_descriptive,other_routes_monthly_beta,,descriptive,"<div class=""header"">Pathogen 4 ""[pre_pth4_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_pth_4_iso,other_routes_monthly_beta,,radio,[Pathogen 4: [pre_pth4_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_4_iso_na_desc,other_routes_monthly_beta,,notes,[Pathogen 4: [pre_pth4_target]] How come isolation wasn't performed?,,,,,,,"[othmo_pth_4_iso] = 'na' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_4_iso_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 4: [pre_pth4_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_4_iso] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_4_iso_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 4: [pre_pth4_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_4_iso_lyt_conf] = 'resistance' and [othmo_pth_4_iso] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_4_iso_oth,other_routes_monthly_beta,,radio,[Pathogen 4: [pre_pth4_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_4_iso_oth_site,other_routes_monthly_beta,,text,[Pathogen 4: [pre_pth4_target]] Specify other site where pathogen was isolated,,,,,,,"[othmo_pth_4_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_4_iso_oth_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 4: [pre_pth4_target]] Is ongoing lytic activity of phage(s) confirmed at [othmo_pth_4_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_4_iso_oth_site] and [othmo_pth_4_iso] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_4_iso_oth_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 4: [pre_pth4_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_4_iso_oth_lyt_conf] = 'resistance' and [othmo_pth_4_iso] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth5_descriptive,other_routes_monthly_beta,,descriptive,"<div class=""header"">Pathogen 5 ""[pre_pth5_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_pth_5_iso,other_routes_monthly_beta,,radio,[Pathogen 5: [pre_pth5_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_5_iso_na_desc,other_routes_monthly_beta,,notes,[Pathogen 5: [pre_pth5_target]] How come isolation wasn't performed?,,,,,,,"[othmo_pth_5_iso] = 'na' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_5_iso_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 5: [pre_pth5_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_5_iso] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_5_iso_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 5: [pre_pth5_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_5_iso_lyt_conf] = 'resistance' and [othmo_pth_5_iso] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_5_iso_oth,other_routes_monthly_beta,,radio,[Pathogen 5: [pre_pth5_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_5_iso_oth_site,other_routes_monthly_beta,,text,[Pathogen 5: [pre_pth5_target]] Specify other site where pathogen was isolated,,,,,,,"[othmo_pth_5_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_5_iso_oth_lyt_conf,other_routes_monthly_beta,,radio,[Pathogen 5: [pre_pth5_target]] Is ongoing lytic activity of phage(s) confirmed at [othmo_pth_5_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[othmo_pth_5_iso_oth_site] and [othmo_pth_5_iso] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_pth_5_iso_oth_lyt_conf_r_d,other_routes_monthly_beta,,notes,[Pathogen 5: [pre_pth5_target]] Please specify anti-phage resistance activity,,,,,,,"[othmo_pth_5_iso_oth_lyt_conf] = 'resistance' and [othmo_pth_5_iso] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
othmo_wgs,other_routes_monthly_beta,WGS,yesno,[Month [othmo_mth]] Is WGS data available for current isolate?,,,,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
othmo_wgs_loc,other_routes_monthly_beta,,notes,[Month [othmo_mth]] Where is the WGS data stored?,,,,,,,"[othmo_wgs]='1' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
ae_no_inclusion_msg,adverse_events_beta,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""background-color: #e03e2d; color: #ffffff;"">     Patient DOES NOT MEET INCLUSION CRITERIA     </span></h3></div>",,,,,,,[sc_meets_inclusion] < 1,,,,,,
ae_date_of_event,adverse_events_beta,,text,Date of Event — this is a change!,,,date_dmy,,,,,y,,,,,
ae_day_of_therapy,adverse_events_beta,,text,"If still receiving phage therapy, specify day of therapy (day 1 = day of first dose administration)",,,integer,1,,,,,,,,,
ae_last_dose_within_72h,adverse_events_beta,,radio,Did the patient receive the last phage dose within 72 hours?,"1, Yes, within 72 hours ( <= 72h ) | 2, No",,,,,,,y,,,,,
ae_hours_since_phage_dose,adverse_events_beta,,text,"If last dose of phage administered < 72 hours prior, specify time of onset of event in hours since last dose of phage (XX.X hours - must be < 72)","If last dose of phage administered < 72 hours prior, specify time of onset of event in hours since last dose of phage (XX.X hours - must be < 72)",,number_1dp,0,72,,"[ae_last_dose_within_72h] = ""1""",y,,,,,
ae_days_since_phage_dose,adverse_events_beta,,text,"If last dose of phage administered at least 72 hours prior, specify time of onset of event in days since last dose of phage (XXX.X days - should be less than 180)",,,number_1dp,0,180,,"[ae_last_dose_within_72h] = ""2""",y,,,,,
ae_phages_recv,adverse_events_beta,,checkbox,Which phages has participant received at least 1 dose of to date?,"phage1,phage1 | phage2,phage2 | phage3,phage3 | phage4,phage4 | phage5,phage5 | phage6,phage6 | phage7,phage7 | phage8,phage8",,,,,,,y,,,,,
ae_meddra_classification,adverse_events_beta,,text,Event term (MedDRA Classification),BIOPORTAL:MEDDRA,,,,,,,,,,,,
ae_details,adverse_events_beta,,notes,"<div class=""rich-text-field-label""><p>Details of Event</p></div>",,,,,,,,y,,,,,
ae_severity,adverse_events_beta,,radio,Severity (mild/moderate/severe)?,"1, Mild | 2, Moderate | 3, Severe",,,,,,,y,,,,,
ae_is_serious,adverse_events_beta,,yesno,Is this a Serious Adverse Event?,,,,,,,,y,,,,,
ae_serious_event_criteria,adverse_events_beta,,checkbox,How does event meet seriousness criteria?,"1, Resulted in death | 2, Was immediately life threatening | 3, Required inpatient hospitalisation or prolongation of existing hospitalisation | 4, Resulted in persistent or significant disability/incapacity | 5, Congenital anomaly/birth defect | 6, Other, may jeopardise the participant or may require medical or surgical intervention to prevent one of the outcomes listed above",,,,,,"[ae_is_serious] = ""1""",y,,,,,
ae_has_reported_sponsor,adverse_events_beta,,checkbox,Confirm SAE has been reported to the trial sponsor at: WSLHD-ResearchOffice@health.nsw.gov.au,"1, Yes, I have reported to the trial sponsor",,,,,,"[ae_is_serious] = ""1""",y,,,,,
ae_related_to_pt,adverse_events_beta,,radio,Is adverse event related to phage therapy?,"1, Unrelated | 2, Unlikely | 3, Possible | 4, Probably | 5, Definite",,,,,,,y,,,,,
ae_related_phages,adverse_events_beta,,checkbox,What phages are related to adverse event?,"0, Other trial-related procedure (e.g. blood draw) | phage1,phage1 | phage2,phage2 | phage3,phage3 | phage4,phage4 | phage5,phage5 | phage6,phage6 | phage7,phage7 | phage8,phage8",,,,,,[ae_related_to_pt] > 3,y,,,,,
ae_has_confirmed_w_pi,adverse_events_beta,,checkbox,Confirm Serious Adverse Event has been discussed with site PI,"1, Yes, I have confirmed with the site PI",,,,,,"[ae_is_serious] = ""1"" and [ae_related_to_pt] > 3",y,,,,,
ae_is_susar,adverse_events_beta,,yesno,Does event qualify as a SUSAR?,,,,,,,"[ae_is_serious] = ""1"" and [ae_related_to_pt] > 3",y,,,,,
ae_has_reported_susar,adverse_events_beta,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';"">Confirm SUSAR has been reported:</span></p> <ul> <li><span style=""font-weight: normal;"">To the sponsor (WSLHD-ResearchOffice@health.nsw.gov.au)</span></li> <li><span style=""font-weight: normal;"">To the chair of the DSMB (ian.seppelt@sydney.edu.au)</span></li> <li><span style=""font-weight: normal;"">To the CPI (jonathan.iredell@sydney.edu.au)</span></li> </ul></div>","1, Yes, SUSAR reported to Sponsor, Chair of the DSMB, and the CPI",,,,,,"[ae_is_serious] = ""1"" and [ae_related_to_pt] > 3",y,,,,,
ae_req_treatment_eval,adverse_events_beta,,notes,Any required treatment or evaluation?,,,,,,,,,,,,,
ae_final_outcome,adverse_events_beta,,radio,Final outcome,"1, Resolution | 2, Stabilisation | 3, No longer clinically significant | 4, Participant lost to follow-up",,,,,,,y,,,,,
ae_date_final_outcome,adverse_events_beta,,text,Date of final outcome,,,date_dmy,,,,,,,,,,
wd_no_inclusion_msg,withdrawal_beta,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""background-color: #e03e2d; color: #ffffff;"">     Patient DOES NOT MEET INCLUSION CRITERIA     </span></h3></div>",,,,,,,[sc_meets_inclusion] < 1,,,,,,
wd_reason,withdrawal_beta,,radio,Withdrawal reason. To be completed for all withdrawn participants. ,"1, Participant completed trial including at least 6 month follow-up | 2, Participant lost to follow-up | 3, Participant has withdrawn consent for all data collection | 4, Participant has withdrawn consent for monitoring samples to be drawn but ongoing collection of clinical data is permitted",,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
wd_withdrawal_date,withdrawal_beta,,text,Date of Withdrawal,,,date_dmy,,,,"[sc_meets_inclusion] = ""1"" and [wd_reason] = ""2"" or [wd_reason]=""3""",y,,,,,
fp_no_inclusion_msg,followup_beta,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""background-color: #e03e2d; color: #ffffff;"">     Patient DOES NOT MEET INCLUSION CRITERIA     </span></h3></div>",,,,,,,[sc_meets_inclusion] < 1,,,,,,
fp_has_6mo_followup,followup_beta,,yesno,Was follow-up performed at least 6 months after completion of phage therapy?,,,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
fp_no_followup_reasons,followup_beta,,notes,Why wasn't followup performed?,,,,,,,"[sc_meets_inclusion] = ""1"" and [fp_has_6mo_followup] = ""0""",y,,,,,
fp_months_lt_6,followup_beta,,radio,"How long after completion of phage therapy was last follow-up performed, in months","1, 1 month after completion | 2, 2 months | 3, 3 months | 4, 4 months | 5, 5 months",,,,,,"[sc_meets_inclusion] = ""1"" and [fp_has_6mo_followup] = ""0""",y,,,,,
fp_months_gt_6,followup_beta,,radio,"How long after completion of phage therapy was last follow-up performed, in months?","1, 6 months after completion | 2, 6-12 months | 3, > 12 months",,,,,,"[sc_meets_inclusion] = ""1"" and [fp_has_6mo_followup] = ""1""",y,,,,,
fp_last_visit_date,followup_beta,,text,Date of final follow-up visit,,,date_dmy,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
